,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
2501,방화제2동,잠실6동,126.8067549,37.5666997,127.10065,37.518142,방화제2동잠실6동,36484,5153.463,42250
2502,논현1동,구로제3동,127.028461,37.5115706,126.8903678,37.4873799,논현1동구로제3동,16419,3578.507,20200
2503,서교동,신월4동,126.914588,37.5551015,126.8401341,37.5246218,서교동신월4동,10257,2138.48,13100
2504,구로제5동,양평제1동,126.8892945,37.5001593,126.888238,37.52365,구로제5동양평제1동,3916,724.129,5700
2505,길동,월곡제1동,127.1426791,37.5345598,127.0357574,37.6105472,길동월곡제1동,22203,3349.705,23300
2506,구로제2동,수궁동,126.8834703,37.491377,126.8314627,37.4939422,구로제2동수궁동,7128,1963.474,11730
2507,역삼1동,낙성대동,127.0333574,37.4954841,126.9583884,37.4762971,역삼1동낙성대동,8826,2151.78,10600
2508,잠원동,서초3동,127.0140771,37.5149619,127.0119725,37.4836682,잠원동서초3동,4664,1652.027,8000
2509,방이2동,수서동,127.1114868,37.5164444,127.104929,37.4889181,방이2동수서동,5243,1051.607,6700
2510,신설동,평내동,127.0255251,37.5749343,127.2360753,37.6483117,신설동평내동,24971,3726.59,26010
2511,서초3동,관양2동,127.0119725,37.4836682,126.9710143,37.4022817,서초3동관양2동,13214,1527.847,14090
2512,서교동,가산동,126.914588,37.5551015,126.8917326,37.4769094,서교동가산동,14302,2008.615,14910
2513,상계2동,창제1동,127.0678377,37.6574727,127.0438683,37.6483046,상계2동창제1동,4791,1070.07,6900
2514,등촌제3동,도당동,126.847881,37.5589789,126.7859358,37.5163212,등촌제3동도당동,9864,2017.946,13250
2515,중계본동,구의제3동,127.080338,37.64784,127.0920204,37.5380706,중계본동구의제3동,18161,1555.213,17990
2516,등촌제3동,상계6.7동,126.847881,37.5589789,127.0669541,37.654882,등촌제3동상계6.7동,41441,4432.11,41810
2517,신정4동,수궁동,126.8558042,37.5245455,126.8314627,37.4939422,신정4동수궁동,5777,1081.059,7000
2518,번제3동,중곡제3동,127.04665,37.625874,127.0801736,37.5688084,번제3동중곡제3동,8318,1559.437,9700
2519,대림제1동,회현동,126.905818,37.4954685,126.9793216,37.5572864,대림제1동회현동,11744,1934.85,12200
2520,답십리제4동,구의제2동,127.06125,37.567417,127.0899111,37.5472481,답십리제4동구의제2동,4670,1073.488,7100
