start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
목4동,회기동,126.86835,37.532425,127.0553132,37.5908083,목4동회기동,24295,2741.108,22500
양평제1동,도곡1동,126.888238,37.52365,127.0390246,37.488238,양평제1동도곡1동,20598,2390.28,18200
석관동,송천동,127.061413,37.612957,127.023838,37.618282,석관동송천동,6486,1097.784,7400
당산제2동,구산동,126.8973273,37.5310483,126.9103893,37.6117455,당산제2동구산동,12227,1445.294,12500
방화제3동,당산제2동,126.8135628,37.5787386,126.8973273,37.5310483,방화제3동당산제2동,13052,1639.352,12600
필동,잠실7동,126.9955699,37.5601529,127.0771146,37.5086777,필동잠실7동,14778,1306.05,14000
석관동,장위제3동,127.061413,37.612957,127.056603,37.6165512,석관동장위제3동,1389,333.785,3800
이촌제1동,대치2동,126.9732,37.5214167,127.0642072,37.5022848,이촌제1동대치2동,14243,1391.774,13300
인수동,수유제3동,127.0106307,37.6415105,127.023125,37.638715,인수동수유제3동,1900,456.007,3800
거여2동,암사제3동,127.1468764,37.4935803,127.1408249,37.5549912,거여2동암사제3동,9350,1349.622,10990
오륜동,삼성1동,127.1343,37.515425,127.062532,37.5144424,오륜동삼성1동,9439,1098.158,9600
묵제1동,등촌제3동,127.0784729,37.6123734,126.847881,37.5589789,묵제1동등촌제3동,26541,3246.331,24400
중계1동,상계10동,127.0775275,37.6525986,127.060225,37.661274,중계1동상계10동,3082,572.863,4800
송천동,석관동,127.023838,37.618282,127.061413,37.612957,송천동석관동,5196,909.806,6500
남가좌제2동,여의동,126.9238889,37.5784658,126.934584,37.5177232,남가좌제2동여의동,12007,1573.16,12100
삼성동,신대방제1동,127.062532,37.5144424,126.91005,37.488943,삼성동신대방제1동,22412,2004.184,19900
등촌제3동,풍산동,126.847881,37.5589789,126.7999452,37.6641075,등촌제3동풍산동,17750,1473.518,17850
용산2가동,청파동,126.9855777,37.5461327,126.9674,37.5488,용산2가동청파동,4446,658.843,5800
진관동,진관동,126.9210512,37.634983,126.9210512,37.634983,진관동진관동,0,0.0,0
내곡동,여의동,127.0583103,37.4493583,126.934584,37.5177232,내곡동여의동,17672,2133.426,17000
월계2동,시흥제3동,127.0508,37.6325377,126.9057945,37.4403095,월계2동시흥제3동,35511,4136.522,33910
도봉제2동,풍납2동,127.046575,37.669751,127.1157686,37.5292584,도봉제2동풍납2동,22164,3187.82,20600
중림동,종로1.2.3.4가동,126.9644863,37.5548629,126.9902618,37.574461,중림동종로1.2.3.4가동,4283,831.864,5900
은천동,호계2동,126.9424278,37.4853086,126.9453031,37.386456,은천동호계2동,19564,1827.579,19210
마장동,내곡동,127.045388,37.566325,127.0583103,37.4493583,마장동내곡동,17798,2439.268,16800
구로제1동,자양제3동,126.8757585,37.4930433,127.072913,37.533842,구로제1동자양제3동,28134,2839.564,24200
면목제4동,구의제2동,127.0855775,37.5746736,127.0899111,37.5472481,면목제4동구의제2동,3686,693.616,5100
돈암제1동,장지동,127.0263875,37.6034071,127.1354,37.4785,돈암제1동장지동,24588,2601.5,22200
중화제1동,하계1동,127.080623,37.6011745,127.0725852,37.6405374,중화제1동하계1동,5237,790.084,6800
강일동,암사제1동,127.173909,37.5649783,127.132663,37.551508,강일동암사제1동,4960,720.9,6300
