,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
3840,답십리3동,상계8동,127.0512678,37.5717963,127.0515874,37.6667854,답십리3동상계8동,14000,1680,0
3972,홍제제1동,신당3동,126.9448779,37.5876988,127.0090022,37.552479,홍제제1동신당3동,9800,1440,0
3988,종로1.2.3.4가동,명륜3가,126.9902618,37.574461,126.9931,37.5875,종로1.2.3.4가동명륜3가,3100,420,0
4023,신내2동,신당3동,127.0942306,37.6061896,127.0090022,37.552479,신내2동신당3동,20000,1980,0
4031,상도1동,중앙동,126.953089,37.4981,126.9497133,37.4842598,상도1동중앙동,2900,600,0
4041,명륜3가,종로1.2.3.4가동,126.9931,37.5875,126.9902618,37.574461,명륜3가종로1.2.3.4가동,3300,540,0
4046,양평제1동,장안2동,126.888238,37.52365,127.0706,37.578483,양평제1동장안2동,24000,2340,0
4105,이문3동,영종동,127.065075,37.6033571,126.5315335,37.4942488,이문3동영종동,61000,3660,0
4106,신당1동,남영동,127.0145478,37.5620973,126.9748403,37.5457586,신당1동남영동,6400,1140,0
4112,답십리3동,하안2동,127.0512678,37.5717963,126.8747335,37.4647164,답십리3동하안2동,33000,3060,0
4126,상도1동,우장산동,126.953089,37.4981,126.8418849,37.5482468,상도1동우장산동,17000,2100,0
4147,중계2.3동,면목3.8동,127.0687126,37.6421829,127.0880603,37.5829681,중계2.3동면목3.8동,8300,1500,0
4151,전농2동,이문3동,127.0600375,37.5781027,127.065075,37.6033571,전농2동이문3동,3700,660,0
4153,가양제2동,김포본동,126.8512826,37.5673763,126.7057,37.6275987,가양제2동김포본동,19000,1740,0
4164,독산제3동,면목3.8동,126.9032524,37.4751198,127.0880603,37.5829681,독산제3동면목3.8동,26000,2880,0
4174,명륜3가,녹번동,126.9931,37.5875,126.9298245,37.6021944,명륜3가녹번동,9500,1440,0
4184,신당1동,상도제3동,127.0145478,37.5620973,126.9313793,37.4991123,신당1동상도제3동,14000,2100,0
4193,번제3동,답십리3동,127.04665,37.625874,127.0512678,37.5717963,번제3동답십리3동,13000,1260,0
4222,도봉제2동,가능동,127.046575,37.669751,127.0384877,37.7505409,도봉제2동가능동,11000,960,0
