,예정시간,배차시간,승차시간,distance,duration,taxiFare,배차-예정,승차-배차,승차-예정,y_b_time,b_s_time,y_s_time,y_b_seconds,b_s_seconds,y_s_seconds,y_b_days,b_s_days,y_s_days
297773,2021-04-05 7:25:00,2021-04-05 7:32:03,2021-04-05 7:38:02,16202,2510.522,16000,7,6,13,0 days 00:07:03,6 days 00:05:59,6 days 00:13:02,423,359,782,0,6,6
297774,2021-04-05 7:25:13,2021-04-05 7:32:44,2021-04-05 7:34:53,12785,1416.973,11900,7,2,9,0 days 00:07:31,6 days 00:02:09,6 days 00:09:40,451,129,580,0,6,6
297776,2021-04-05 7:25:36,2021-04-05 7:31:59,2021-04-05 7:36:05,12413,1520.571,12000,6,5,11,0 days 00:06:23,6 days 00:04:06,6 days 00:10:29,383,246,629,0,6,6
297777,2021-04-05 7:25:48,2021-04-05 7:32:02,2021-04-05 7:49:22,2404,358.921,5210,7,17,24,0 days 00:23:34,5 days 23:42:40,6 days 00:06:14,374,1040,1414,0,5,6
297780,2021-04-05 7:26:00,2021-04-05 7:28:11,2021-04-05 8:20:49,31838,4187.835,30000,2,52,54,0 days 00:02:11,6 days 00:52:38,6 days 00:54:49,131,3158,3289,0,6,6
299775,2021-04-22 7:27:00,2021-04-22 7:28:19,2021-04-22 7:36:27,2768,597.616,4300,1,8,9,0 days 00:01:19,1 days 00:08:08,1 days 00:09:27,79,488,567,0,1,1
300272,2021-04-09 7:30:39,2021-04-09 7:40:25,2021-04-09 7:51:22,3253,474.831,5000,10,11,21,0 days 00:09:46,12 days 00:10:57,12 days 00:20:43,586,657,1243,0,12,12
301516,2021-04-18 7:33:00,2021-04-18 7:45:13,2021-04-18 8:03:04,6036,1117.241,7700,12,18,30,0 days 00:12:13,12 days 00:17:51,12 days 00:30:04,733,1071,1804,0,12,12
301518,2021-04-18 7:33:59,2021-04-18 7:39:04,2021-04-18 8:09:41,20173,1918.202,20730,6,30,36,0 days 00:05:05,12 days 00:30:37,12 days 00:35:42,305,1837,2142,0,12,12
302012,2021-04-19 7:20:30,2021-04-19 7:22:00,2021-04-19 7:26:07,12053,2363.431,14100,2,4,6,0 days 00:01:30,6 days 00:04:07,6 days 00:05:37,90,247,337,0,6,6
302014,2021-04-19 7:21:17,2021-04-19 7:24:27,2021-04-19 8:06:01,20173,1918.202,20730,3,42,45,0 days 00:44:44,5 days 23:18:26,6 days 00:03:10,190,2494,2684,0,5,6
302016,2021-04-19 7:23:22,2021-04-19 7:41:27,2021-04-19 7:50:52,12785,1416.973,11900,18,9,27,0 days 00:27:30,5 days 23:50:35,6 days 00:18:05,1085,565,1650,0,5,6
305502,2021-05-06 7:19:13,2021-05-06 7:26:49,2021-05-06 7:43:10,5909,767.175,7200,7,17,24,0 days 00:07:36,1 days 00:16:21,1 days 00:23:57,456,981,1437,0,1,1
306983,2021-05-04 7:10:00,2021-05-04 7:12:16,2021-05-04 7:45:56,8747,1139.006,8900,2,33,35,0 days 00:35:56,4 days 23:26:20,5 days 00:02:16,136,2020,2156,0,4,5
306984,2021-05-04 7:10:00,2021-05-04 7:26:07,2021-05-04 7:33:58,12413,1520.571,12000,16,7,23,0 days 00:23:58,4 days 23:52:09,5 days 00:16:07,967,471,1438,0,4,5
306985,2021-05-04 7:10:00,2021-05-04 7:16:04,2021-05-04 7:17:44,1000,240,0,6,1,7,0 days 00:06:04,5 days 00:01:40,5 days 00:07:44,364,100,464,0,5,5
