통계시군구명,등록장애인수,년도
서초구,10529,202005
성동구,11579,202005
성북구,17647,202005
송파구,20192,202005
양천구,17522,202005
영등포구,14399,202005
용산구,8001,202005
은평구,21645,202005
종로구,6042,202005
중구,5695,202005
중랑구,20394,202005
강남구,15231,202011
강동구,18212,202011
강북구,17485,202011
강서구,28768,202011
관악구,20263,202011
광진구,12372,202011
구로구,18295,202011
금천구,11391,202011
노원구,27301,202011
도봉구,15432,202011
동대문구,15695,202011
동작구,14622,202011
마포구,12955,202011
서대문구,12554,202011
서초구,10516,202011
성동구,11429,202011
성북구,17517,202011
송파구,20268,202011
양천구,17552,202011
영등포구,14512,202011
용산구,7968,202011
은평구,21740,202011
종로구,6013,202011
중구,5706,202011
중랑구,20408,202011
강남구,15258,201901
강동구,17355,201901
강북구,17517,201901
강서구,28781,201901
관악구,20236,201901
광진구,12630,201901
구로구,17635,201901
금천구,11197,201901
노원구,27381,201901
도봉구,15309,201901
동대문구,15834,201901
동작구,14689,201901
마포구,13228,201901
서대문구,12640,201901
서초구,10563,201901
성동구,11845,201901
성북구,17417,201901
송파구,20127,201901
양천구,17365,201901
영등포구,14416,201901
용산구,8100,201901
은평구,21543,201901
종로구,6014,201901
중구,5653,201901
중랑구,20217,201901
강남구,15228,202010
강동구,18174,202010
강북구,17480,202010
강서구,28740,202010
관악구,20246,202010
광진구,12378,202010
구로구,18311,202010
금천구,11409,202010
노원구,27258,202010
도봉구,15423,202010
동대문구,15678,202010
동작구,14629,202010
마포구,12982,202010
서대문구,12574,202010
서초구,10503,202010
성동구,11473,202010
성북구,17562,202010
송파구,20275,202010
양천구,17544,202010
영등포구,14471,202010
용산구,7976,202010
은평구,21764,202010
종로구,6008,202010
중구,5698,202010
중랑구,20394,202010
강남구,15414,202002
강동구,17848,202002
강북구,17509,202002
강서구,28842,202002
관악구,20295,202002
광진구,12518,202002
구로구,18187,202002
금천구,11403,202002
노원구,27297,202002
도봉구,15457,202002
동대문구,15851,202002
동작구,14663,202002
마포구,13119,202002
서대문구,12602,202002
서초구,10570,202002
성동구,11649,202002
성북구,17681,202002
송파구,20252,202002
양천구,17477,202002
영등포구,14438,202002
용산구,8055,202002
은평구,21650,202002
종로구,6083,202002
중구,5699,202002
중랑구,20378,202002
강남구,15200,202012
강동구,18307,202012
강북구,17441,202012
강서구,28727,202012
관악구,20265,202012
광진구,12353,202012
구로구,18280,202012
금천구,11390,202012
노원구,27312,202012
도봉구,15436,202012
동대문구,15701,202012
동작구,14607,202012
마포구,12951,202012
서대문구,12551,202012
서초구,10542,202012
성동구,11412,202012
성북구,17490,202012
송파구,20286,202012
양천구,17558,202012
영등포구,14539,202012
용산구,7960,202012
은평구,21773,202012
종로구,6015,202012
중구,5700,202012
중랑구,20394,202012
강남구,15291,202006
강동구,18099,202006
강북구,17561,202006
강서구,28858,202006
관악구,20269,202006
광진구,12450,202006
구로구,18227,202006
금천구,11389,202006
노원구,27331,202006
도봉구,15471,202006
동대문구,15766,202006
동작구,14671,202006
마포구,13089,202006
서대문구,12577,202006
서초구,10541,202006
성동구,11561,202006
성북구,17660,202006
송파구,20196,202006
양천구,17560,202006
영등포구,14411,202006
용산구,7997,202006
은평구,21679,202006
종로구,6046,202006
중구,5705,202006
중랑구,20411,202006
강남구,15101,202204
강동구,18521,202204
강북구,17191,202204
강서구,28335,202204
관악구,20095,202204
광진구,12164,202204
구로구,18291,202204
금천구,11483,202204
노원구,26588,202204
도봉구,15224,202204
동대문구,15385,202204
동작구,14333,202204
마포구,12833,202204
서대문구,12216,202204
서초구,10146,202204
성동구,11166,202204
성북구,17346,202204
송파구,20396,202204
양천구,17476,202204
영등포구,14422,202204
용산구,7613,202204
은평구,21694,202204
종로구,5883,202204
중구,5562,202204
중랑구,20208,202204
강남구,15266,201902
강동구,17376,201902
강북구,17530,201902
강서구,28856,201902
관악구,20246,201902
광진구,12621,201902
구로구,17615,201902
금천구,11201,201902
노원구,27369,201902
도봉구,15322,201902
동대문구,15825,201902
동작구,14700,201902
마포구,13237,201902
서대문구,12660,201902
서초구,10543,201902
성동구,11834,201902
성북구,17410,201902
송파구,20211,201902
양천구,17334,201902
영등포구,14434,201902
용산구,8078,201902
은평구,21549,201902
종로구,6038,201902
중구,5654,201902
중랑구,20242,201902
강남구,15253,201903
강동구,17368,201903
강북구,17483,201903
강서구,28889,201903
관악구,20255,201903
광진구,12612,201903
구로구,17692,201903
금천구,11193,201903
노원구,27409,201903
도봉구,15329,201903
동대문구,15816,201903
동작구,14712,201903
마포구,13191,201903
서대문구,12676,201903
서초구,10578,201903
성동구,11827,201903
성북구,17494,201903
송파구,20249,201903
양천구,17365,201903
영등포구,14428,201903
용산구,8077,201903
은평구,21556,201903
종로구,6044,201903
중구,5662,201903
중랑구,20248,201903
강남구,15102,202205
강동구,18564,202205
강북구,17168,202205
