,start,end,startlat,startlng,endlat,endlng,direction,sentence,duration,distance
3972,홍제제1동,신당3동,126.9448779,37.5876988,127.0090022,37.552479,홍제제1동신당3동,홍제제1동에서 신당3동,24,9.8
3988,종로1.2.3.4가동,명륜3가,126.9902618,37.574461,126.9931,37.5875,종로1.2.3.4가동명륜3가,종로1.2.3.4가동에서 명륜3가,7,3.1
4023,신내2동,신당3동,127.0942306,37.6061896,127.0090022,37.552479,신내2동신당3동,신내2동에서 신당3동,33,20
4031,상도1동,중앙동,126.953089,37.4981,126.9497133,37.4842598,상도1동중앙동,상도1동에서 중앙동,10,2.9
4041,명륜3가,종로1.2.3.4가동,126.9931,37.5875,126.9902618,37.574461,명륜3가종로1.2.3.4가동,명륜3가에서 종로1.2.3.4가동,9,3.3
4046,양평제1동,장안2동,126.888238,37.52365,127.0706,37.578483,양평제1동장안2동,양평제1동에서 장안2동,39,24
4105,이문3동,영종동,127.065075,37.6033571,126.5315335,37.4942488,이문3동영종동,이문3동에서 영종동,61,61
4106,신당1동,남영동,127.0145478,37.5620973,126.9748403,37.5457586,신당1동남영동,신당1동에서 남영동,19,6.4
4112,답십리3동,하안2동,127.0512678,37.5717963,126.8747335,37.4647164,답십리3동하안2동,답십리3동에서 하안2동,51,33
4126,상도1동,우장산동,126.953089,37.4981,126.8418849,37.5482468,상도1동우장산동,상도1동에서 우장산동,35,17
4147,중계2.3동,면목3.8동,127.0687126,37.6421829,127.0880603,37.5829681,중계2.3동면목3.8동,중계2.3동에서 면목3.8동,25,8.3
4151,전농2동,이문3동,127.0600375,37.5781027,127.065075,37.6033571,전농2동이문3동,전농2동에서 이문3동,11,3.7
4153,가양제2동,김포본동,126.8512826,37.5673763,126.7057,37.6275987,가양제2동김포본동,가양제2동에서 김포본동,29,19
4164,독산제3동,면목3.8동,126.9032524,37.4751198,127.0880603,37.5829681,독산제3동면목3.8동,독산제3동에서 면목3.8동,48,26
4174,명륜3가,녹번동,126.9931,37.5875,126.9298245,37.6021944,명륜3가녹번동,명륜3가에서 녹번동,24,9.5
4184,신당1동,상도제3동,127.0145478,37.5620973,126.9313793,37.4991123,신당1동상도제3동,신당1동에서 상도제3동,35,14
4193,번제3동,답십리3동,127.04665,37.625874,127.0512678,37.5717963,번제3동답십리3동,번제3동에서 답십리3동,21,13
4222,도봉제2동,가능동,127.046575,37.669751,127.0384877,37.7505409,도봉제2동가능동,도봉제2동에서 가능동,16,11
4228,신당3동,신촌동,127.0090022,37.552479,126.9418114,37.5640923,신당3동신촌동,신당3동에서 신촌동,25,9.3
4257,신당4동,우이동,127.014687,37.557083,127.0118533,37.6479523,신당4동우이동,신당4동에서 우이동,44,12
4267,신사제1동,신당3동,126.9117735,37.5978445,127.0090022,37.552479,신사제1동신당3동,신사제1동에서 신당3동,35,22
4296,암사제3동,답십리3동,127.1408249,37.5549912,127.0512678,37.5717963,암사제3동답십리3동,암사제3동에서 답십리3동,22,11
4361,신당2동,삼성동,127.0082322,37.5542861,127.062532,37.5144424,신당2동삼성동,신당2동에서 삼성동,22,8.6
4402,답십리3동,사근동,127.0512678,37.5717963,127.0453315,37.5614846,답십리3동사근동,답십리3동에서 사근동,10,2.3
4417,면목3.8동,회기동,127.0880603,37.5829681,127.0553132,37.5908083,면목3.8동회기동,면목3.8동에서 회기동,13,5.5
4457,신당4동,명동,127.014687,37.557083,126.98585,37.560042,신당4동명동,신당4동에서 명동,12,4.2
4475,장안2동,상일동,127.0706,37.578483,127.1683007,37.550583,장안2동상일동,장안2동에서 상일동,20,13
4494,월계3동,면목3.8동,127.0692485,37.6210475,127.0880603,37.5829681,월계3동면목3.8동,월계3동에서 면목3.8동,14,7.4
4504,답십리4동,청운효자동,127.06125,37.567417,126.9706519,37.5841367,답십리4동청운효자동,답십리4동에서 청운효자동,27,10
4587,상도1동,원천동,126.953089,37.4981,127.0532171,37.2734789,상도1동원천동,상도1동에서 원천동,48,40
4590,명륜3가,용두동,126.9931,37.5875,127.0372011,37.5758884,명륜3가용두동,명륜3가에서 용두동,18,6.1
4632,장안1동,안암동,127.066375,37.567842,127.0213292,37.5858498,장안1동안암동,장안1동에서 안암동,16,6.7
4642,신당1동,왕십리제2동,127.0145478,37.5620973,127.0310207,37.5617987,신당1동왕십리제2동,신당1동에서 왕십리제2동,9,2.2
4652,상도1동,번제2동,126.953089,37.4981,127.0387953,37.6323588,상도1동번제2동,상도1동에서 번제2동,47,26
4670,공릉1.3동,장안1동,127.073838,37.624874,127.066375,37.567842,공릉1.3동장안1동,공릉1.3동에서 장안1동,19,8
4701,방화제3동,상도1동,126.8135628,37.5787386,126.953089,37.4981,방화제3동상도1동,방화제3동에서 상도1동,27,19
4703,명륜3가,청파동,126.9931,37.5875,126.9674,37.5488,명륜3가청파동,명륜3가에서 청파동,20,7.2
4731,답십리3동,이화동,127.0512678,37.5717963,127.004338,37.577008,답십리3동이화동,답십리3동에서 이화동,15,5.1
4768,을지로동,신당6동,126.9913342,37.5667163,127.0194239,37.5600562,을지로동신당6동,을지로동에서 신당6동,12,3.6
4780,면목3.8동,신내1동,127.0880603,37.5829681,127.099538,37.605882,면목3.8동신내1동,면목3.8동에서 신내1동,13,3.8
4795,강일동,제기동,127.173909,37.5649783,127.0378551,37.5831612,강일동제기동,강일동에서 제기동,31,17
4797,회현동,면목3.8동,126.9793216,37.5572864,127.0880603,37.5829681,회현동면목3.8동,회현동에서 면목3.8동,37,15
