index,start,end,startlat,startlng,endlat,endlng,direction,distance,duration,taxiFare
15396,행운동,신당1동,126.9570456,37.4806541,127.0145478,37.5620973,행운동신당1동,0,0.0,0
15399,월계3동,신당4동,127.0692485,37.6210475,127.014687,37.557083,월계3동신당4동,0,0.0,0
15418,종암동,흥선동,127.0351572,37.5990075,127.0306961,37.7463446,종암동흥선동,0,0.0,0
15463,전농3동,공릉1.3동,127.0600375,37.5781027,127.073838,37.624874,전농3동공릉1.3동,0,0.0,0
15475,신당6동,안암동,127.0194239,37.5600562,127.0213292,37.5858498,신당6동안암동,0,0.0,0
15488,명륜3가,방학제1동,126.9931,37.5875,127.0407251,37.6641763,명륜3가방학제1동,0,0.0,0
15506,제기동,방화제1동,127.0378551,37.5831612,126.817026,37.5703659,제기동방화제1동,0,0.0,0
15530,마장동,면목3.8동,127.045388,37.566325,127.0880603,37.5829681,마장동면목3.8동,0,0.0,0
15543,명륜3가,대방동,126.9931,37.5875,126.92635,37.508133,명륜3가대방동,0,0.0,0
15546,신당3동,남영동,127.0090022,37.552479,126.9748403,37.5457586,신당3동남영동,0,0.0,0
15563,가락본동,답십리4동,127.1217864,37.4955568,127.06125,37.567417,가락본동답십리4동,0,0.0,0
15605,신당1동,노량진제2동,127.0145478,37.5620973,126.937352,37.508509,신당1동노량진제2동,0,0.0,0
15632,장안1동,능동,127.066375,37.567842,127.0804994,37.5537803,장안1동능동,0,0.0,0
15637,공릉2동,답십리3동,127.083488,37.621332,127.0512678,37.5717963,공릉2동답십리3동,0,0.0,0
15656,답십리4동,역삼1동,127.06125,37.567417,127.0333574,37.4954841,답십리4동역삼1동,0,0.0,0
15686,답십리4동,혜화동,127.06125,37.567417,127.0005764,37.5869186,답십리4동혜화동,0,0.0,0
15704,상도1동,구로제3동,126.953089,37.4981,126.8903678,37.4873799,상도1동구로제3동,0,0.0,0
15736,전농3동,고덕제1동,127.0600375,37.5781027,127.1515382,37.5572593,전농3동고덕제1동,0,0.0,0
15740,신당4동,반포2동,127.014687,37.557083,126.9945091,37.5046022,신당4동반포2동,0,0.0,0
15749,면목3.8동,왕십리도선동,127.0880603,37.5829681,127.0255501,37.5678257,면목3.8동왕십리도선동,0,0.0,0
15752,답십리4동,전농3동,127.06125,37.567417,127.0600375,37.5781027,답십리4동전농3동,0,0.0,0
15753,전농제1동,전농3동,127.0477575,37.5779984,127.0600375,37.5781027,전농제1동전농3동,0,0.0,0
15755,제기동,천호제2동,127.0378551,37.5831612,127.1254351,37.5435257,제기동천호제2동,0,0.0,0
15784,이문3동,잠실3동,127.065075,37.6033571,127.094375,37.513333,이문3동잠실3동,0,0.0,0
15824,신당4동,왕십리도선동,127.014687,37.557083,127.0255501,37.5678257,신당4동왕십리도선동,0,0.0,0
